,ID,Genus,Species,FROH,Sex,Reference,Name,Population
429,PD_0831,Macaca,fascicularis,0.0,M,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
430,PD_0832,Macaca,fascicularis,0.00243614,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
431,PD_0833,Macaca,fascicularis,0.08770118,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
432,PD_0834,Macaca,fascicularis,0.10313009,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
433,PD_0835,Macaca,fascicularis,0.08587407,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
434,PD_0836,Macaca,fascicularis,0.01840642,M,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
435,PD_0837,Macaca,fascicularis,0.20923768,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
436,PD_0838,Macaca,fascicularis,0.21817021,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
437,PD_0858,Macaca,nemestrina,0.02165461,M,Macaca_mulatta,Macaca_nemestrina,Macaca_nemestrina
438,PD_0860,Macaca,arctoides,0.0,F,Macaca_mulatta,Macaca_arctoides,Macaca_arctoides
439,PD_0867,Macaca,nemestrina,0.00033835,F,Macaca_mulatta,Macaca_nemestrina,Macaca_nemestrina
440,PD_0870,Macaca,nemestrina,0.00372189,F,Macaca_mulatta,Macaca_nemestrina,Macaca_nemestrina
441,PD_0872,Macaca,nemestrina,0.00257149,F,Macaca_mulatta,Macaca_nemestrina,Macaca_nemestrina
442,PD_0874,Macaca,nemestrina,0.00372189,F,Macaca_mulatta,Macaca_nemestrina,Macaca_nemestrina
443,SAMN01920473,Gorilla,beringei,0.39473569,M,Gorilla_gorilla_gorilla,Gorilla_beringei,Gorilla_beringei
444,SAMN01920474,Gorilla,beringei,0.27932348,M,Gorilla_gorilla_gorilla,Gorilla_beringei,Gorilla_beringei
445,SAMN01920475,Gorilla,beringei,0.49179865,F,Gorilla_gorilla_gorilla,Gorilla_beringei,Gorilla_beringei
446,SAMN01920476,Gorilla,gorilla,0.22667477,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
447,SAMN01920477,Gorilla,gorilla,0.00635416,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
448,SAMN01920478,Gorilla,gorilla,0.01050381,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
449,SAMN01920479,Gorilla,gorilla,0.02217471,M,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
450,SAMN01920480,Gorilla,gorilla,0.0177657,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
451,SAMN01920481,Gorilla,gorilla,0.0038903,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
452,SAMN01920482,Gorilla,gorilla,0.03760623,M,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
453,SAMN01920483,Gorilla,gorilla,0.02399018,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
454,SAMN01920484,Gorilla,gorilla,0.04253394,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
455,SAMN01920485,Gorilla,gorilla,0.0719057,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
456,SAMN01920486,Gorilla,gorilla,0.01497765,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
457,SAMN01920487,Gorilla,gorilla,0.02950144,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
458,SAMN01920488,Gorilla,gorilla,0.02418469,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
459,SAMN01920489,Gorilla,gorilla,0.04817487,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
460,SAMN01920490,Gorilla,gorilla,0.02703758,M,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
461,SAMN01920491,Gorilla,gorilla,0.06114254,M,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
462,SAMN01920492,Gorilla,gorilla,0.03254884,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
463,SAMN01920493,Gorilla,gorilla,0.08072371,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
464,SAMN01920494,Gorilla,gorilla,0.03326206,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
465,SAMN01920495,Gorilla,gorilla,0.0333269,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
466,SAMN01920496,Gorilla,gorilla,0.15619551,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
467,SAMN01920497,Gorilla,gorilla,0.09810038,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
468,SAMN01920498,Gorilla,gorilla,0.04681327,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
469,SAMN01920499,Gorilla,gorilla,0.02645403,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
470,SAMN01920500,Gorilla,gorilla,0.03112239,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
471,SAMN01920501,Gorilla,gorilla,0.01355121,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
472,SAMN01920502,Gorilla,gorilla,0.06205027,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
473,SAMN01920503,Gorilla,gorilla,0.10607549,F,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla_samn
474,SAMN01920504,Pan,paniscus,0.0,F,Pan_troglodytes,Pan_paniscus,Pan_paniscus
475,SAMN01920505,Pan,paniscus,0.07222148,F,Pan_troglodytes,Pan_paniscus,Pan_paniscus
476,SAMN01920506,Pan,paniscus,0.09345142,F,Pan_troglodytes,Pan_paniscus,Pan_paniscus
477,SAMN01920507,Pan,paniscus,0.06521097,F,Pan_troglodytes,Pan_paniscus,Pan_paniscus
478,SAMN01920508,Pan,paniscus,0.10562061,F,Pan_troglodytes,Pan_paniscus,Pan_paniscus
479,SAMN01920509,Pan,paniscus,0.04093873,M,Pan_troglodytes,Pan_paniscus,Pan_paniscus
480,SAMN01920510,Pan,paniscus,0.03644143,F,Pan_troglodytes,Pan_paniscus,Pan_paniscus
481,SAMN01920511,Pan,paniscus,0.04986721,F,Pan_troglodytes,Pan_paniscus,Pan_paniscus
482,SAMN01920512,Pan,paniscus,0.08604409,F,Pan_troglodytes,Pan_paniscus,Pan_paniscus
483,SAMN01920513,Pan,paniscus,0.04616355,M,Pan_troglodytes,Pan_paniscus,Pan_paniscus
484,SAMN01920514,Pan,paniscus,0.18577852,F,Pan_troglodytes,Pan_paniscus,Pan_paniscus
485,SAMN01920515,Pan,paniscus,0.00436503,F,Pan_troglodytes,Pan_paniscus,Pan_paniscus
486,SAMN01920516,Pan,paniscus,0.01243373,F,Pan_troglodytes,Pan_paniscus,Pan_paniscus
487,SAMN01920517,Pan,troglodytes,0.05244655,M,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
488,SAMN01920518,Pan,troglodytes,0.19437631,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
489,SAMN01920519,Pan,troglodytes,0.04609741,M,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
490,SAMN01920520,Pan,troglodytes,0.06283004,M,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
491,SAMN01920521,Pan,troglodytes,0.06468188,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
492,SAMN01920522,Pan,troglodytes,0.04424558,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
493,SAMN01920523,Pan,troglodytes,0.04312125,M,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
494,SAMN01920524,Pan,troglodytes,0.03339913,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
495,SAMN01920525,Pan,troglodytes,0.03339913,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
496,SAMN01920526,Pan,troglodytes,0.1041656,F,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
497,SAMN01920527,Pan,troglodytes,0.07288285,M,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_samn
